Restaurant ID,Restaurant Name,Event ID,Photo URL,Event Start Date,Event End Date,Event Title
18856789,AIR- An Ivory Region,336644,https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg,2019-04-10,2019-04-11,Dhol Bhangra Night
18382360,Local,336889,NA,2019-04-10,2019-04-10,Cocktail Wednesday
18382360,Local,336888,NA,2019-04-10,2019-04-10,Cocktail Wednesday
18382360,Local,336890,https://b.zmtcdn.com/data/zomato_events/photos/193/bed72acb4c93b8affeba209ccad08193_1554726578.jpg,2019-04-10,2019-04-10,Cocktail Wednesday
18382360,Local,336894,https://b.zmtcdn.com/data/zomato_events/photos/f6c/0aea33156c313eef2343ac6f0e0a5f6c_1554726952.jpg,2019-04-12,2019-04-12,Hip Hop Friday
18382360,Local,336903,https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg,2019-04-13,2019-04-13,Urban Saturday
18466951,Jungle Jamboree,336622,https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg,2019-04-08,2019-04-13,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree
18337893,The Luggage Room Kitchen And Bar,336251,https://b.zmtcdn.com/data/zomato_events/photos/799/108cf02227f93ebf23d0931aad9c6799_1554553534.jpeg,2019-04-10,2019-04-11,Commercial Night
18337893,The Luggage Room Kitchen And Bar,336248,https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg,2019-04-11,2019-04-11,Ladies Night
18571735,Dum Laga Ke Haishaa,337099,https://b.zmtcdn.com/data/zomato_events/photos/bd5/f3d41368563de4717c134eb22144bbd5_1554791503.jpg,2019-04-09,2019-05-18,Live Sports Screening
18571735,Dum Laga Ke Haishaa,337096,https://b.zmtcdn.com/data/zomato_events/photos/484/5e127cada3fadb0325231b4af17a7484_1554791314.jpg,2019-04-14,2019-04-15,Poila Baishak
18571735,Dum Laga Ke Haishaa,337102,https://b.zmtcdn.com/data/zomato_events/photos/42d/5ff1422e615ed8199844db6c6839342d_1554791652.jpg,2019-04-14,2019-04-15,Poila Baishak Special
18398880,JW Kitchen - JW Marriott Hotel Kolkata,334818,https://b.zmtcdn.com/data/zomato_events/photos/cd3/63b861ffce13a6772331351c3d4a7cd3_1554270291.jpeg,2019-04-15,2019-04-15,Poila Baishakh Buffet 
18259462,Ocean Grill,286422,NA,2018-12-17,2019-04-30,Customised Party Packages
18761167,Echoes Kolkata,337247,https://b.zmtcdn.com/data/zomato_events/photos/fd4/28cb2e167c37cb93352c8d7ff086ffd4_1554804343.jpg,2019-04-15,2019-04-15,Celebrate Poila Boishak with Echoes
18751849,Five Mad Men,333108,https://b.zmtcdn.com/data/zomato_events/photos/c36/7f0216962bad1b7239eb65be4e79ac36_1553939104.jpg,2019-04-03,2019-05-05,Apna Stadium Khud Chuno - IPL 2019 Big Match Day
18751849,Five Mad Men,334920,https://b.zmtcdn.com/data/zomato_events/photos/d2e/33c4ccd53ddb4032a84e21c79e166d2e_1554444408.jpg,2019-04-11,2019-04-11,Ladies Night
18751849,Five Mad Men,334922,https://b.zmtcdn.com/data/zomato_events/photos/ee3/13745a8a0307c436afac7fc4f2cdfee3_1554282159.jpg,2019-04-15,2019-04-15,Game of Thrones - Special Screening of season 8
18392725,Tamasha,336892,https://b.zmtcdn.com/data/zomato_events/photos/226/ba2b3f29cb4ad068b5c24e2be8a47226_1554726923.jpg,2019-04-11,2019-04-12,Bombay Velvet
18392725,Tamasha,336898,https://b.zmtcdn.com/data/zomato_events/photos/4d5/714bbc76d08697beb0a92b7a164f04d5_1554727292.jpg,2019-04-12,2019-04-13,Zulfi Performing Live
18701052,The Fusion Kitchen,298104,https://b.zmtcdn.com/data/zomato_events/photos/e3b/f4ff3f0587a19faae36ab04fa1c2ce3b_1550491642.jpg,2019-03-15,2019-04-30,HAPPY HOURS 1+1 
18566818,JLWA,336881,https://b.zmtcdn.com/data/zomato_events/photos/ee5/3136ce776bb5713020dc50098b29bee5_1554725717.jpg,2019-04-10,2019-04-11,Juggy & Band Live
